ACTO,CONVOCATORIA,DEPTO,CIRCUITO,SERIES,ESCRUTINIO,HOJA,CNT_VOTOS
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,924,CMJ,Departamental,1326,2
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,925,CMJ,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,927,CMJ,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,930,CMJ,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,936,CMJ,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,940,CMJ,Departamental,1326,2
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,944,CMJ,Departamental,9600,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,946,CMJ,Departamental,1326,2
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,951,CMK,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,951,CMK,Departamental,9600,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,957,CMK,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,960,CMK,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,978,CNA,Departamental,11917,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,982,COA,Departamental,1326,2
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,983,COA,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,989,CPA,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,990,CPA,Departamental,11917,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,991,CPA,Departamental,9600,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,996,CQA,Departamental,9600,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,997,CQA,Departamental,9600,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,1000,CQA,Departamental,9600,2
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,1003,CQA,Departamental,9600,2
